Date,Close/Last,Volume,Open,High,Low
09/09/2022,$110.28,1617703,$106.31,$110.58,$106.11
09/08/2022,$105.18,857910,$104.36,$106.55,$103.72
09/07/2022,$105.86,652327,$102.35,$106.28,$102.35
09/06/2022,$102.59,962848,$104.06,$104.37,$100.62
09/02/2022,$104.42,1405435,$107.55,$108.29,$103.36
09/01/2022,$106.52,1570662,$106.06,$107.09,$102.18
08/31/2022,$108.15,1050490,$109.50,$110.08,$107.35
08/30/2022,$107.23,951661,$110.32,$111.51,$105.77
08/29/2022,$108.56,966140,$107.45,$110.70,$106.87
08/26/2022,$109.31,908633,$113.91,$114.19,$109.03
08/25/2022,$113.53,860506,$111.64,$113.60,$110.67
08/24/2022,$110.05,701995,$108.09,$112.105,$108.05
08/23/2022,$108.03,895886,$109.63,$110.92,$107.42
08/22/2022,$109.60,1213752,$108.68,$110.91,$107.66
08/19/2022,$111.43,963375,$113.00,$113.44,$110.07
08/18/2022,$114.39,1102399,$113.63,$115.44,$112.01
08/17/2022,$114.15,1411550,$117.97,$118.28,$113.78
08/16/2022,$120.10,872731,$121.48,$121.7401,$117.86
08/15/2022,$122.60,1021651,$122.83,$124.67,$121.45
08/12/2022,$123.63,910242,$124.17,$124.68,$121.85
08/11/2022,$122.73,1985606,$122.60,$126.27,$120.94
08/10/2022,$120.09,1370217,$119.55,$120.90,$116.66
08/09/2022,$115.56,1090952,$118.23,$118.755,$113.64
08/08/2022,$119.70,998019,$119.86,$123.415,$118.73
08/05/2022,$118.73,1304139,$118.46,$120.56,$116.8294
08/04/2022,$122.40,1459387,$120.58,$124.6299,$120.10
08/03/2022,$120.46,1698544,$117.60,$120.56,$116.57
08/02/2022,$116.00,1116301,$113.79,$117.1797,$113.42
08/01/2022,$115.35,1683985,$111.44,$115.835,$110.20
07/29/2022,$113.02,1708138,$112.90,$115.3499,$110.36
07/28/2022,$114.59,2637397,$115.53,$117.2465,$110.76
07/27/2022,$116.61,7373255,$118.04,$121.64,$114.2351
07/26/2022,$103.97,2752557,$105.94,$107.3499,$103.395
07/25/2022,$110.42,1595692,$110.60,$112.18,$108.53
07/22/2022,$111.65,2046275,$113.19,$116.36,$110.20
07/21/2022,$115.62,2381357,$112.66,$115.80,$111.70
07/20/2022,$113.25,2075808,$110.00,$114.045,$109.315
07/19/2022,$108.68,1964468,$105.95,$108.965,$102.59
07/18/2022,$103.57,1576200,$104.45,$108.00,$102.59
07/15/2022,$102.33,1608330,$97.81,$102.60,$96.58
07/14/2022,$96.32,1335772,$98.06,$98.50,$95.93
07/13/2022,$99.21,1443460,$95.96,$100.34,$94.75
07/12/2022,$99.58,1137643,$100.01,$102.17,$98.02
07/11/2022,$99.15,1744912,$102.24,$103.1594,$98.7201
07/08/2022,$104.24,1433657,$103.60,$106.16,$101.74
07/07/2022,$105.83,1544331,$102.61,$106.10,$102.28
07/06/2022,$102.87,1592037,$104.03,$105.35,$101.73
07/05/2022,$104.83,2556368,$95.81,$104.88,$94.56
07/01/2022,$97.52,1987510,$94.68,$97.63,$93.66
06/30/2022,$93.83,2399432,$96.95,$97.07,$92.055
06/29/2022,$97.96,3052779,$97.64,$98.09,$93.71
06/28/2022,$99.00,2539720,$106.35,$106.35,$98.6101
06/27/2022,$106.27,1639076,$108.66,$109.09,$103.895
06/24/2022,$107.00,2563311,$103.73,$107.09,$102.58
06/23/2022,$102.19,2197516,$100.19,$102.90,$96.84
06/22/2022,$99.33,1484176,$99.72,$102.46,$98.73
06/21/2022,$101.40,1568215,$101.01,$104.84,$101.01
06/17/2022,$99.27,1776312,$98.96,$101.4899,$96.81
06/16/2022,$97.85,2165617,$102.35,$102.95,$96.69
06/15/2022,$105.35,2885446,$103.69,$106.90,$101.00
06/14/2022,$98.05,2466828,$102.54,$103.00,$97.21
06/13/2022,$98.61,2492960,$98.62,$100.66,$96.075
06/10/2022,$102.23,2498542,$108.85,$111.3373,$102.06
06/09/2022,$111.93,2772195,$116.09,$118.08,$111.77
06/08/2022,$116.03,4138361,$110.12,$119.00,$110.00
06/07/2022,$109.43,2408335,$110.00,$110.23,$107.31
06/06/2022,$111.04,2424992,$116.99,$117.44,$110.31
06/03/2022,$112.23,1086953,$114.20,$115.7101,$111.35
06/02/2022,$116.50,1284409,$110.04,$117.25,$109.41
06/01/2022,$110.00,1499102,$114.02,$116.1295,$109.81
05/31/2022,$112.77,1770612,$115.22,$115.60,$110.38
05/27/2022,$112.97,2716319,$109.70,$113.38,$109.01
05/26/2022,$108.62,2272719,$107.99,$110.91,$107.24
05/25/2022,$108.79,2400453,$103.38,$109.82,$102.84
05/24/2022,$103.50,3996575,$105.50,$106.39,$102.19
05/23/2022,$109.07,2430128,$106.27,$109.28,$103.11
05/20/2022,$107.27,1856315,$107.25,$108.40,$102.96
05/19/2022,$105.77,1908377,$104.00,$108.5199,$103.0101
05/18/2022,$104.40,1803068,$103.44,$107.64,$102.85
05/17/2022,$105.06,2874600,$103.11,$106.70,$101.00
05/16/2022,$101.05,2077393,$104.31,$106.86,$100.555
05/13/2022,$106.09,2479790,$99.95,$106.9514,$99.95
05/12/2022,$97.08,3096018,$90.44,$100.75,$89.03
05/11/2022,$91.94,2894512,$97.71,$101.38,$91.35
05/10/2022,$99.17,3157964,$97.87,$100.52,$93.68
05/09/2022,$94.44,2305515,$101.78,$104.19,$93.52
05/06/2022,$104.68,3018562,$108.33,$108.98,$101.57
05/05/2022,$105.59,2449738,$110.42,$110.84,$104.34
05/04/2022,$112.55,2479944,$108.62,$113.36,$104.12
05/03/2022,$109.49,2004282,$107.26,$110.94,$106.55
05/02/2022,$108.86,2698897,$101.17,$109.39,$99.90
04/29/2022,$101.65,2981730,$102.04,$107.03,$101.55
04/28/2022,$102.68,4121341,$96.91,$104.515,$95.2201
04/27/2022,$96.67,9175092,$97.22,$105.64,$95.74
04/26/2022,$110.41,4875435,$112.34,$114.515,$105.40
04/25/2022,$112.14,3044833,$108.77,$113.625,$107.21
04/22/2022,$110.21,2444998,$112.70,$116.70,$109.10
04/21/2022,$112.62,4384289,$123.34,$126.40,$110.53
04/20/2022,$122.49,5654830,$130.01,$131.23,$121.57
04/19/2022,$137.41,906999,$132.74,$138.74,$131.97
04/18/2022,$134.43,961086,$136.56,$136.56,$131.53
04/14/2022,$136.27,1304386,$141.25,$141.92,$136.015
04/13/2022,$141.34,1092465,$138.12,$148.47,$136.50
04/12/2022,$138.90,1043366,$144.95,$146.43,$138.51
04/11/2022,$139.61,1416589,$138.20,$142.50,$135.83
04/08/2022,$141.28,1434139,$141.38,$144.67,$138.16
04/07/2022,$141.39,1404326,$144.59,$148.2999,$138.01
04/06/2022,$145.64,2308355,$145.34,$146.08,$141.755
04/05/2022,$148.91,1695621,$159.17,$159.83,$147.66
04/04/2022,$158.84,2214080,$154.97,$160.06,$153.82
04/01/2022,$153.70,1408812,$152.54,$156.26,$152.00
03/31/2022,$151.02,1371817,$154.91,$156.57,$150.81
03/30/2022,$156.16,1643343,$154.36,$159.34,$153.51
03/29/2022,$157.31,1597189,$154.00,$158.19,$150.62
03/28/2022,$150.13,939734,$146.25,$150.30,$144.17
03/25/2022,$146.04,1161444,$149.96,$149.98,$142.715
03/24/2022,$149.26,2310384,$155.15,$156.91,$143.82
03/23/2022,$148.57,2102798,$146.07,$155.30,$144.76
03/22/2022,$147.47,2535324,$139.67,$148.00,$137.17
03/21/2022,$140.42,1930187,$143.17,$146.40,$138.44
03/18/2022,$144.78,2575055,$138.71,$147.50,$138.15
03/17/2022,$138.73,1977480,$132.84,$139.86,$131.47
03/16/2022,$133.58,2297862,$126.00,$134.5884,$125.82
03/15/2022,$123.84,1496892,$121.35,$125.93,$120.81
03/14/2022,$119.47,2185005,$122.78,$125.9109,$118.20
03/11/2022,$124.29,2027616,$134.34,$135.38,$124.15
03/10/2022,$132.67,1978620,$134.23,$135.37,$129.76
03/09/2022,$136.42,1521947,$135.34,$139.81,$134.93
03/08/2022,$131.68,1858568,$129.99,$137.26,$125.84
03/07/2022,$130.51,2320081,$135.28,$138.72,$130.05
03/04/2022,$135.17,2383661,$140.90,$142.30,$134.09
03/03/2022,$139.92,2393490,$150.81,$151.83,$138.62
03/02/2022,$149.48,1462021,$152.89,$153.10,$145.86
03/01/2022,$151.25,1404661,$159.34,$159.49,$150.24
02/28/2022,$156.19,1883499,$151.64,$157.97,$149.93
02/25/2022,$151.91,1674518,$150.47,$152.88,$145.90
02/24/2022,$149.21,2352212,$136.89,$149.81,$135.555
02/23/2022,$144.17,1450069,$151.03,$152.2696,$144.09
02/22/2022,$149.38,1849255,$150.20,$156.65,$148.10
02/18/2022,$152.27,2330972,$158.85,$160.17,$150.74
02/17/2022,$159.22,2017814,$162.59,$163.98,$157.70
02/16/2022,$163.94,1577258,$164.80,$165.73,$161.31
02/15/2022,$168.06,1384540,$165.45,$168.7599,$162.50
02/14/2022,$162.21,1607950,$160.69,$166.06,$159.53
02/11/2022,$161.93,2158342,$168.01,$171.00,$160.22
02/10/2022,$167.83,2235703,$169.67,$177.60,$167.01
02/09/2022,$175.49,4911124,$167.68,$175.82,$163.21
02/08/2022,$165.92,3828162,$170.00,$172.87,$163.66
02/07/2022,$171.51,4407093,$169.99,$175.00,$167.30
02/04/2022,$174.43,5779163,$163.11,$176.95,$161.10
02/03/2022,$159.76,14049300,$164.00,$174.40,$155.57
02/02/2022,$191.92,6687923,$205.35,$208.49,$188.36
02/01/2022,$203.62,2868508,$199.13,$205.2829,$193.63
01/31/2022,$196.26,4882381,$180.35,$196.57,$179.53
01/28/2022,$172.98,2515476,$172.23,$174.035,$164.41
01/27/2022,$171.32,2513470,$172.89,$179.83,$169.43
01/26/2022,$174.79,2654604,$189.33,$192.91,$173.58
01/25/2022,$184.04,2074420,$187.75,$192.00,$180.76
01/24/2022,$193.56,3005140,$187.41,$194.23,$177.07
01/21/2022,$195.53,3149987,$202.37,$205.72,$194.72
01/20/2022,$208.66,2517815,$210.89,$217.94,$207.66
01/19/2022,$207.35,1659912,$212.98,$216.61,$207.03
01/18/2022,$210.87,1380315,$213.57,$218.00,$209.68
01/14/2022,$218.56,1665402,$223.91,$226.399,$213.74
01/13/2022,$226.45,985595,$236.16,$238.80,$226.19
01/12/2022,$231.31,1111613,$237.21,$240.08,$230.38
01/11/2022,$234.97,1175441,$224.40,$236.33,$222.06
01/10/2022,$224.41,1394214,$220.84,$224.98,$212.38
01/07/2022,$223.58,907220,$228.15,$232.47,$221.34
01/06/2022,$228.27,1172122,$224.95,$231.78,$219.61
01/05/2022,$227.70,1345270,$237.76,$241.89,$225.42
01/04/2022,$239.26,1874416,$245.10,$246.38,$227.415
01/03/2022,$244.16,1933830,$235.25,$247.20,$235.25
12/31/2021,$234.03,870716,$237.77,$241.25,$233.29
12/30/2021,$237.92,941575,$233.78,$241.54,$233.17
12/29/2021,$232.92,1155760,$232.64,$235.84,$228.1001
12/28/2021,$233.78,777211,$234.57,$239.49,$231.51
12/27/2021,$233.78,964015,$236.71,$237.75,$230.23
12/23/2021,$236.63,813273,$235.50,$238.06,$226.62
12/22/2021,$235.16,972688,$238.03,$240.92,$234.01
12/21/2021,$238.11,716732,$230.19,$238.84,$230.06
12/20/2021,$228.16,1120716,$230.75,$236.49,$228.11
12/17/2021,$235.28,1697737,$224.31,$237.45,$222.77
12/16/2021,$226.55,1130028,$229.16,$232.6599,$224.05
12/15/2021,$225.40,1557874,$222.35,$227.02,$216.00
12/14/2021,$222.68,2137334,$222.00,$227.28,$219.75
12/13/2021,$225.62,1188024,$232.88,$234.45,$222.94
12/10/2021,$233.26,838644,$237.10,$238.43,$230.07
12/09/2021,$233.42,1060039,$241.61,$245.81,$232.05
12/08/2021,$243.17,1137734,$240.00,$245.3699,$235.47
12/07/2021,$238.51,1089502,$239.96,$242.92,$237.22
12/06/2021,$232.01,1186181,$228.95,$232.59,$225.21
12/03/2021,$228.80,1830973,$230.00,$233.73,$221.15
12/02/2021,$228.54,1603203,$225.00,$232.72,$224.875
12/01/2021,$225.09,1627418,$238.15,$241.42,$224.3209
11/30/2021,$238.50,1874423,$245.54,$248.88,$235.895
11/29/2021,$246.60,1347780,$250.85,$251.45,$245.23
11/26/2021,$250.89,836851,$248.08,$253.05,$246.05
11/24/2021,$249.49,1552478,$244.67,$251.585,$238.6501
11/23/2021,$243.03,2356760,$246.23,$251.13,$237.06
11/22/2021,$250.34,1347223,$258.65,$264.135,$247.015
11/19/2021,$259.55,799787,$263.27,$266.91,$258.07
11/18/2021,$263.37,1050038,$268.56,$272.00,$262.33
11/17/2021,$271.95,1103338,$271.55,$272.06,$265.87
11/16/2021,$271.30,1586898,$278.98,$279.055,$270.00
11/15/2021,$278.38,1055281,$281.81,$286.60,$278.33
11/12/2021,$280.56,1853734,$282.24,$284.53,$277.75
11/11/2021,$276.65,1262913,$275.10,$280.00,$273.75
11/10/2021,$269.72,1367895,$277.14,$279.71,$266.37
11/09/2021,$278.75,1586486,$282.24,$286.47,$276.105
11/08/2021,$286.90,2077151,$287.00,$289.86,$283.105
11/05/2021,$289.05,1261116,$293.30,$297.63,$285.00
11/04/2021,$293.48,1137219,$295.10,$299.08,$291.785
11/03/2021,$298.08,1223943,$297.80,$299.66,$291.03
11/02/2021,$298.20,1315309,$300.00,$305.60,$296.5883
11/01/2021,$300.95,2385960,$295.40,$302.5714,$294.52
10/29/2021,$289.40,1604407,$285.14,$292.82,$283.32
10/28/2021,$288.95,3414425,$273.62,$293.32,$273.14
10/27/2021,$273.13,3958202,$269.91,$278.00,$260.5301
10/26/2021,$252.20,1672603,$260.34,$263.69,$251.57
10/25/2021,$257.89,1009736,$252.06,$259.19,$250.58
10/22/2021,$252.96,988109,$251.50,$254.37,$249.02
10/21/2021,$255.00,1093529,$251.09,$263.04,$250.84
10/20/2021,$251.18,736756,$258.29,$258.61,$249.66
10/19/2021,$255.61,1056108,$250.25,$256.13,$247.45
10/18/2021,$248.82,763515,$247.23,$250.56,$245.49
10/15/2021,$247.40,813581,$248.92,$249.61,$243.42
10/14/2021,$247.37,858645,$246.68,$248.12,$240.03
10/13/2021,$243.83,1216357,$238.29,$244.26,$238.106
10/12/2021,$235.30,651438,$232.81,$235.75,$231.50
10/11/2021,$231.89,647482,$233.87,$236.58,$230.44
10/08/2021,$232.88,625206,$235.50,$238.37,$232.34
10/07/2021,$234.90,661682,$233.01,$238.41,$232.80
10/06/2021,$232.02,1037064,$223.59,$232.90,$222.53
10/05/2021,$225.82,647894,$221.96,$227.93,$221.63
10/04/2021,$221.91,1145372,$229.99,$230.00,$218.66
10/01/2021,$229.33,898232,$227.02,$230.00,$223.96
09/30/2021,$225.34,1050728,$221.87,$226.34,$218.51
09/29/2021,$220.32,1071189,$228.41,$229.27,$220.19
09/28/2021,$227.34,1392383,$231.29,$232.01,$225.87
09/27/2021,$232.94,818926,$228.84,$235.60,$227.06
09/24/2021,$230.20,1103152,$231.81,$231.81,$225.495
09/23/2021,$234.86,942972,$237.89,$238.3064,$233.56
09/22/2021,$235.35,906646,$234.79,$237.145,$234.206
09/21/2021,$234.51,884209,$236.20,$238.79,$233.94
09/20/2021,$237.76,1357467,$240.52,$240.913,$234.50
09/17/2021,$248.10,1130317,$243.23,$248.39,$242.5201
09/16/2021,$242.02,846159,$240.35,$242.85,$239.26
09/15/2021,$242.87,766757,$243.45,$244.20,$239.62
09/14/2021,$243.81,815085,$244.51,$246.35,$242.55
09/13/2021,$244.22,1215412,$245.98,$247.82,$236.66
09/10/2021,$247.76,1515082,$247.01,$254.94,$245.42
09/09/2021,$246.01,926167,$247.40,$250.98,$245.4855
